# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	8323
#@/user_id	e7e57a2c-2e9c-446e-a89d-2d5cdff91181
a 	啊	c=28 d=1.67528 t=8271
huan 	換	c=4 d=1.01406 t=5916
huan cun 	緩存	c=2 d=1.7827 t=4589
huan jin 	換進	c=1 d=1 t=3427
huan jing 	環境	c=2 d=1.00359 t=4556
huang 	慌	c=2 d=1 t=6791
hui 	回	c=8 d=1.00288 t=5549
hui 	會	c=32 d=1.01881 t=8255
hui bu lai 	回不來	c=1 d=1 t=6853
hui da 	回答	c=2 d=1.8825 t=6662
hui fu 	回覆	c=8 d=1.46328 t=7294
hui hou 	會後	c=1 d=1 t=1008
hui jia 	回家	c=2 d=1.00487 t=4948
hui lai 	回來	c=5 d=1 t=8136
hui lv 	匯率	c=1 d=1 t=1039
hui qu 	回去	c=2 d=1 t=5527
hui tui 	回退	c=1 d=1 t=1975
hui yi 	會議	c=17 d=1.00417 t=8116
hui yi shang 	會議上	c=1 d=1 t=2310
hui yi shi 	會議室	c=1 d=1 t=2240
hui you 	會有	c=5 d=1.21228 t=4068
hui yuan 	會員	c=6 d=3.8127 t=7876
hui zai 	會在	c=3 d=1 t=6921
hui zong 	彙總	c=1 d=1 t=1821
huo de 	獲得	c=2 d=1.00097 t=3330
huo qu 	獲取	c=2 d=1 t=7673
huo zhe 	或者	c=8 d=1.01818 t=7808
huo zhe 	活著	c=1 d=1 t=1388
ji 	急	c=2 d=1.42741 t=523
ji 	集	c=1 d=1 t=2896
ji ben 	基本	c=5 d=1.00006 t=4355
ji ben shang 	基本上	c=2 d=1.00003 t=4660
ji de 	極的	c=1 d=1 t=6152
ji de 	記得	c=1 d=1 t=6153
ji dian 	幾點	c=2 d=1 t=3905
ji fei 	計費	c=1 d=1 t=6810
ji fen zhong 	幾分鐘	c=0 d=0.1 t=7489
ji ge 	幾個	c=7 d=1.12745 t=8143
ji hao 	幾號	c=1 d=1 t=2984
ji hu 	幾乎	c=1 d=1 t=7229
ji hua 	計畫	c=2 d=1.00647 t=8078
ji hui 	機會	c=1 d=1 t=1774
ji lu 	記錄	c=9 d=2.36535 t=8118
ji mao 	雞毛	c=1 d=1 t=5450
ji qi 	及其	c=1 d=1 t=4213
ji qi 	機器	c=7 d=2.38192 t=6757
ji shi 	及時	c=1 d=1 t=662
ji shu 	技術	c=1 d=1 t=3575
ji shu 	計數	c=1 d=1 t=3574
ji suan 	計算	c=20 d=1.76793 t=7112
ji tai 	幾臺	c=1 d=1 t=5926
ji tian 	幾天	c=1 d=1 t=2155
ji tiao 	幾條	c=2 d=1.00073 t=2899
ji xu 	繼續	c=4 d=1.04469 t=4493
ji yu 	基於	c=1 d=1 t=3756
ji zhang 	幾張	c=1 d=0.100029 t=5303
ji zhang biao 	幾張表	c=1 d=1 t=5304
ji zhong 	集中	c=1 d=1 t=4396
jia 	假	c=1 d=1 t=2560
jia 	價	c=2 d=1.99005 t=4931
jia 	加	c=15 d=2.50771 t=7779
jia ban 	加班	c=4 d=1 t=8106
jia ge 	價格	c=11 d=4.74804 t=7057
jia mi 	加密	c=3 d=1.99005 t=8028
jia shang 	加上	c=2 d=1 t=7313
jia su 	加速	c=1 d=1 t=6518
jia zai 	加載	c=1 d=1 t=995
jian 	件	c=1 d=1 t=7986
jian 	見	c=1 d=1 t=3610
jian 	間	c=1 d=1 t=2617
jian cha 	檢查	c=10 d=1.20498 t=7858
jian dan 	簡單	c=7 d=1 t=7577
jian kong 	監控	c=4 d=1.3357 t=7781
jian kong 	鉴空	c=1 d=1 t=4176
jian mo 	建模	c=3 d=1.9569 t=4370
jian rong 	兼容	c=1 d=1 t=7436
jian shao 	減少	c=2 d=1.03271 t=3484
jian yan 	檢驗	c=1 d=1 t=7991
jian yi 	建議	c=1 d=1 t=3830
jiang 	將	c=1 d=1 t=1260
jiang 	講	c=1 d=1 t=3174
jiang jiang 	講講	c=1 d=1 t=3159
jiao 	叫	c=1 d=1 t=1784
jiao ben 	腳本	c=4 d=1.00011 t=6649
jiao du 	角度	c=1 d=1 t=3576
jiao liu 	交流	c=2 d=1 t=3542
jie 	接	c=1 d=1 t=4906
jie 	節	c=0 d=0.1 t=1364
jie dian 	節點	c=9 d=1.00049 t=7976
jie dian 	結點	c=1 d=1 t=4015
jie ge 	傑哥	c=3 d=1.34301 t=7743
jie gou 	結構	c=3 d=1.94176 t=5635
jie guo 	結果	c=23 d=1.0149 t=8259
jie jue 	解決	c=3 d=1.00101 t=6673
jie kou 	接口	c=4 d=1.61367 t=979
jie mi 	解密	c=1 d=1 t=732
jie mian 	界面	c=2 d=1.03877 t=4317
jie shi 	解釋	c=1 d=1 t=1650
jie shu 	結束	c=5 d=1.17033 t=8114
jie suan 	結算	c=1 d=1 t=6200
jie tu 	截圖	c=1 d=1 t=7998
jie xi 	解析	c=3 d=1.00364 t=6779
jie xie 	解攜	c=1 d=1 t=5655
jie zhi 	截止	c=1 d=1 t=2386
jie zhi 	截至	c=1 d=1 t=2385
jin 	緊	c=1 d=1 t=3987
jin du 	進度	c=2 d=1.00035 t=8111
jin jin 	僅僅	c=1 d=1 t=1735
jin ke neng 	儘可能	c=1 d=1 t=3705
jin kuai 	儘快	c=2 d=1.0662 t=5536
jin lai 	進來	c=3 d=1.00053 t=7077
jin po 	緊迫	c=1 d=1 t=411
jin qu 	進去	c=1 d=1 t=2188
jin ru 	進入	c=2 d=1 t=6477
jin tian 	今天	c=22 d=1.00655 t=8052
jin tian wo men 	今天我們	c=1 d=1 t=2663
jin xing 	進行	c=4 d=1.00791 t=8058
jin yong 	禁用	c=1 d=1 t=8020
jin zhi 	進制	c=1 d=1 t=5844
jing chang 	經常	c=1 d=1 t=6108
jing gao 	警告	c=2 d=1 t=7850
jing li 	精力	c=1 d=0.747265 t=787
jing ran 	竟然	c=1 d=1 t=1465
jing zhun 	精準	c=1 d=1 t=8209
jing zi 	鏡子	c=1 d=1 t=6612
jiu 	久	c=0 d=0.1 t=834
jiu 	就	c=12 d=1.4523 t=7806
jiu bu jiu 	久不久	c=1 d=1 t=835
jiu er jiu zhi 	久而久之	c=1 d=1 t=5460
jiu hao 	就好	c=7 d=1.38843 t=6289
jiu hui 	就會	c=1 d=1 t=2317
jiu jie 	糾結	c=1 d=1 t=7371
jiu shi 	就是	c=27 d=1.14877 t=7699
jiu shuo 	旧说	c=1 d=1 t=3900
jiu xiang 	就像	c=1 d=1 t=1698
jiu xing 	就行	c=7 d=1.08462 t=8234
jiu yao 	就要	c=2 d=1 t=7564
jiu yong 	就用	c=1 d=1 t=626
jiu you 	九有	c=1 d=1 t=7220
jiu yuan 	久遠	c=1 d=1 t=4004
jiu zheng 	糾正	c=1 d=1 t=5391
ju 	據	c=1 d=1 t=602
ju de 	具德	c=1 d=0.408819 t=3072
ju ge 	舉個	c=1 d=1 t=7642
ju he 	聚合	c=5 d=2.43803 t=8285
ju ti 	具體	c=7 d=1.01127 t=7981
jue de 	覺得	c=3 d=1.00497 t=7769
jue se 	角色	c=1 d=1 t=8320
ka 	卡	c=1 d=1 t=7349
kai 	開	c=1 d=1 t=6759
kai fa 	開發	c=10 d=1.95481 t=8317
kai ge 	開個	c=1 d=1 t=6509
kai hui 	開會	c=4 d=1.00006 t=6978
kai men 	開門	c=1 d=1 t=6734
kai qi 	開啓	c=3 d=1 t=7397
kai shi 	開始	c=7 d=1.08959 t=4297
kai tong 	開通	c=1 d=1 t=1857
kai tou 	開頭	c=1 d=1 t=861
kai wan 	開完	c=0 d=0.1 t=7131
kai wan hui 	開完會	c=1 d=1 t=7132
kai wan xiao 	開玩笑	c=1 d=1 t=377
kai zhan 	開展	c=1 d=1 t=5124
kan 	看	c=14 d=1.6752 t=7786
kan bu chu 	看不出	c=1 d=1 t=7509
kan bu dao 	看不到	c=2 d=1.00005 t=7595
kan dao 	看到	c=6 d=2.04574 t=8009
kan kan 	看看	c=4 d=1.2524 t=4901
kan lai 	看來	c=1 d=1 t=254
kan le 	看了	c=11 d=1.50675 t=7884
kan ming zi 	看名字	c=1 d=1 t=7519
kan ni 	看你	c=1 d=1 t=7900
kan shang qu 	看上去	c=4 d=1.52026 t=7772
kan su du 	看速度	c=1 d=1 t=7286
kan wan 	看完	c=1 d=1 t=3184
kan xia 	看下	c=11 d=2.37949 t=7739
kan you jian 	看郵件	c=1 d=1 t=2153
kao lv 	考慮	c=6 d=1 t=8083
ke hu 	客戶	c=5 d=3.14558 t=8074
ke hu duan 	客戶端	c=1 d=1 t=8296
ke li du 	顆粒度	c=2 d=1.00011 t=5218
ke neng 	可能	c=8 d=1.63378 t=8199
ke yi 	可以	c=56 d=2.04064 t=7968
ke yi qu diao 	可以去掉	c=1 d=1 t=2658
ke yi zhi jie 	可以直接	c=1 d=1 t=3631
ke yong 	可用	c=2 d=1.00036 t=8049
ken din 	肯𨈖	c=1 d=1 t=5416
ken ding 	肯定	c=1 d=1 t=5417
kong 	空	c=1 d=0.76034 t=2868
kong zhi 	控制	c=3 d=1.0146 t=1871
kong zhi 	空值	c=1 d=1 t=2928
ku 	庫	c=5 d=0.1 t=8317
ku cun 	庫存	c=3 d=2.78282 t=919
kuai 	塊	c=1 d=1 t=6800
kuai 	快	c=4 d=1.00046 t=6497
kuai jie 	快捷	c=1 d=1 t=5687
kuai su 	快速	c=1 d=1 t=4414
kuai zhao 	快照	c=1 d=1 t=8037
kuan 	寬	c=1 d=1 t=3702
kuan biao 	寬表	c=1 d=1 t=3739
kuang 	框	c=1 d=1 t=7494
kuang jia 	框架	c=3 d=1.04669 t=8144
kun 	困	c=1 d=1 t=6852
lai 	來	c=19 d=1.02623 t=7977
lai kan 	來看	c=2 d=1.00062 t=5053
lai le 	來了	c=2 d=1.00607 t=6579
lai pan duan 	來判斷	c=1 d=1 t=1264
lai xie 	來寫	c=1 d=1 t=6699
lai zi 	來自	c=1 d=1 t=7700
lai zi yu 	來自於	c=3 d=1.20696 t=5511
lan 	懶	c=1 d=1 t=1808
lao 	老	c=0 d=0.1 t=7227
lao dong 	勞動	c=0 d=0.1 t=1364
lao dong jie 	勞動節	c=1 d=1 t=1365
lao ku 	老庫	c=2 d=1 t=7802
lao shi 	老師	c=3 d=1 t=8030
lao xi tong 	老系統	c=1 d=1 t=7228
le 	了	c=217 d=7.40648 t=8251
lei 	類	c=2 d=1.71892 t=6146
li 	裏	c=7 d=1.03936 t=7782
li du 	力度	c=2 d=1.01073 t=1869
li du 	粒度	c=2 d=1.81465 t=5308
li jie 	理解	c=12 d=1.74029 t=8275
li lun 	理論	c=1 d=1 t=3507
li lun shang 	理論上	c=2 d=1.0056 t=5401
li mian 	裏面	c=25 d=2.55147 t=8008
li shi 	歷史	c=4 d=1.35362 t=7221
li zhi 	離職	c=2 d=1.91851 t=2875
li zi 	例子	c=1 d=1 t=7643
lian 	連	c=2 d=1.99501 t=5432
lian bu shang 	連不上	c=1 d=1 t=6317
lian jie 	連接	c=2 d=1.02193 t=6350
lian xi 	聯繫	c=1 d=1 t=4837
liang 	量	c=6 d=1.31037 t=6425
liang ge 	兩個	c=12 d=2.41982 t=7709
liang ji 	量計	c=1 d=1 t=1458
liang wei 	兩位	c=1 d=1 t=4195
liang zhang 	兩張	c=2 d=0.10039 t=5074
liang zhang biao 	兩張表	c=1 d=1 t=5075
liang zhong 	兩種	c=1 d=1 t=4822
liao 	聊	c=5 d=1.04416 t=7151
liao jie 	瞭解	c=14 d=1.16354 t=7834
liao tian 	聊天	c=1 d=1 t=3146
lin 	林	c=7 d=1.0251 t=7351
lin shi 	臨時	c=3 d=1.02334 t=5457
ling 	另	c=1 d=1 t=1431
ling 	領	c=3 d=1.40254 t=6453
ling wai 	另外	c=4 d=1.00787 t=8068
liu cheng 	流程	c=1 d=1 t=4920
liu lan qi 	瀏覽器	c=2 d=1.97531 t=5168
liu wu er 	柳五儿	c=1 d=1 t=1254
liu zou 	溜走	c=1 d=1 t=3072
lu jing 	路徑	c=2 d=1.16864 t=8305
lu shang 	路上	c=1 d=1 t=892
luan chui 	亂吹	c=1 d=1 t=7938
luan ma 	亂馬	c=1 d=1 t=5845
luo ji 	邏輯	c=24 d=3.22861 t=7111
luo pan 	落盤	c=1 d=1 t=4149
lv 	率	c=1 d=1 t=7368
ma 	嗎	c=78 d=3.274 t=8195
ma 	碼	c=1 d=1 t=6488
ma 	罵	c=1 d=1 t=5701
ma bi 	马璧	c=2 d=1.92312 t=3893
ma fan 	麻煩	c=1 d=1 t=6839
ma shang 	馬上	c=2 d=1 t=6159
mai 	麥	c=1 d=1 t=5433
man 	蠻	c=1 d=1 t=6838
man man 	慢慢	c=1 d=1 t=4509
mang 	忙	c=2 d=1 t=5981
mao 	毛	c=1 d=1 t=8270
mao si 	貌似	c=1 d=1 t=5657
me 	嚜	c=1 d=1 t=634
mei 	每	c=2 d=1.20909 t=6150
mei 	沒	c=15 d=0.210232 t=8245
mei ban fa 	沒辦法	c=9 d=1.20884 t=8240
mei ci 	每次	c=1 d=1 t=5666
mei cuo 	沒錯	c=1 d=1 t=8216
mei fa 	沒法	c=1 d=1 t=647
mei gai 	沒改	c=2 d=1 t=7602
mei gao 	沒搞	c=1 d=1 t=5526
mei gao wan 	沒搞完	c=1 d=1 t=8246
mei ge ren 	每個人	c=1 d=1 t=6291
mei guan xi 	沒關係	c=1 d=1 t=3403
mei hu 	美鱯	c=1 d=1 t=653
mei hua 	美化	c=5 d=1.01129 t=3475
mei jing li 	沒精力	c=1 d=1 t=788
mei kong 	沒空	c=2 d=1.06489 t=3888
mei ri 	每日	c=1 d=1 t=570
mei sha 	沒啥	c=3 d=1.00312 t=7930
mei shi 	沒事	c=1 d=1 t=7243
mei tai 	每臺	c=1 d=1 t=6551
mei tian 	每天	c=4 d=1 t=7795
mei wen ti 	沒問題	c=2 d=1.00004 t=7770
mei yi ge 	每一個	c=1 d=1 t=191
mei yo 	沒喲	c=1 d=1 t=751
mei yong 	沒用	c=1 d=1 t=758
mei you 	沒有	c=67 d=4.29642 t=7867
mei you wen ti 	沒有問題	c=1 d=1 t=559
mei za shuo 	沒雜說	c=1 d=1 t=5816
mei zhao dao 	沒找到	c=1 d=1 t=5373
men 	們	c=5 d=1.00098 t=8288
men kou 	門口	c=1 d=1 t=2238
meng 	猛	c=1 d=1 t=4733
meng 	萌	c=1 d=1 t=5442
meng 	錳	c=1 d=1 t=5441
meng bi 	矇蔽	c=1 d=1 t=3400
mi ma 	密碼	c=6 d=1.9705 t=7996
mian dui mian 	面對面	c=1 d=1 t=5227
mian shi 	面試	c=2 d=1.66365 t=8062
mian xiang 	面相	c=1 d=1 t=4359
miao shu 	描述	c=8 d=1.00978 t=6710
min gan 	敏感	c=0 d=0.1 t=2205
min gan xin xi 	敏感信息	c=1 d=1 t=2206
ming 	名	c=4 d=1.94176 t=4882
ming ling 	命令	c=2 d=1 t=6539
ming que 	明確	c=1 d=1 t=6906
ming tian 	明天	c=12 d=1.01234 t=7826
ming zi 	名字	c=4 d=1.07531 t=7518
mo kuai 	模塊	c=2 d=1.96561 t=511
mo ren 	魔人	c=1 d=1 t=6461
mo ren 	默認	c=1 d=1 t=6462
mo shi 	模式	c=3 d=2.44383 t=404
mo xing 	模型	c=5 d=1.001 t=8193
mu biao 	目標	c=1 d=1 t=1271
mu lu 	目錄	c=6 d=1 t=7462
mu qian 	目前	c=38 d=1.02499 t=8281
mu qian de 	目前的	c=1 d=1 t=185
na 	哪	c=3 d=1.00583 t=4562
na 	拿	c=1 d=1 t=1703
na 	那	c=4 d=1 t=7696
na bian 	那邊	c=6 d=1 t=8075
na ge 	哪個	c=7 d=1.04874 t=8045
na ge 	那個	c=6 d=1.36059 t=7841
na ji ge 	那幾個	c=1 d=1 t=3530
na jiu 	那就	c=2 d=1.00165 t=2780
na li 	哪裏	c=10 d=1.54717 t=7690
na li mian 	那裏面	c=1 d=1 t=2196
na wo 	那我	c=3 d=1.00014 t=3234
na ye 	那也	c=1 d=1 t=1777
na zhang 	那張	c=2 d=1.01398 t=3514
na zhang biao 	那張表	c=2 d=1 t=4905
nai 	乃	c=1 d=1 t=2625
nan 	難	c=1 d=1 t=956
nan dao 	難道	c=2 d=1.97045 t=2879
nan de 	难得	c=1 d=1 t=1775
ne 	呢	c=10 d=1.63945 t=5809
ne ge 	呢個	c=0 d=0.1 t=2466
nei bu 	內部	c=1 d=1 t=1476
nei cun 	內存	c=2 d=1.75201 t=6465
nei he 	內核	c=1 d=1 t=7440
nei rong 	內容	c=1 d=1 t=3477
nei zhi 	內置	c=1 d=1 t=7532
neng 	能	c=11 d=1.12089 t=7292
neng bang 	能幫	c=1 d=1 t=1487
neng bu neng 	能不能	c=3 d=1.48662 t=4643
neng dao 	能到	c=1 d=0.616851 t=2975
neng dao wo 	能到我	c=1 d=1 t=2976
neng fou 	能否	c=1 d=1 t=2005
neng gou 	能夠	c=2 d=1.00257 t=2842
ni 	你	c=69 d=2.26199 t=8273
ni bang wo 	你幫我	c=2 d=1.00035 t=5374
ni de 	逆的	c=1 d=1 t=3019
ni gao 	你搞	c=0 d=0.1 t=6087
ni gao su wo 	你搞俗我	c=1 d=1 t=6088
ni hao xiang 	你好像	c=2 d=1 t=7753
ni jiu 	你就	c=3 d=1.99012 t=7812
ni jue de 	你覺得	c=1 d=1 t=1681
ni kan 	你看	c=1 d=1.00242 t=2177
ni kan kan 	你看看	c=1 d=1 t=4478
ni kan xia 	你看下	c=5 d=1.00007 t=6435
ni ke neng 	你可能	c=1 d=1 t=4271
ni ke yi 	你可以	c=5 d=1.99501 t=7815
ni lai 	你來	c=2 d=1 t=5244
ni ma 	尼瑪	c=1 d=1 t=2740
ni men 	你們	c=16 d=1.03475 t=7724
ni na bian 	你那邊	c=2 d=1.03839 t=4739
ni neng 	你能	c=6 d=1.00001 t=6955
ni shi 	你是	c=1 d=1 t=5846
ni shuo 	你說	c=2 d=1.04264 t=8266
ni suan 	你算	c=1 d=1 t=5931
ni suo 	你所	c=1 d=1 t=5507
ni xian 	倪宪	c=2 d=1.99501 t=4841
ni xian zai 	你現在	c=1 d=1 t=578
ni xu yao 	你需要	c=2 d=1 t=7375
ni yao 	你要	c=6 d=1.08048 t=7694
ni you 	你有	c=2 d=1 t=6333
ni you shi jian 	你有時間	c=1 d=1 t=1083
ni zai 	你在	c=1 d=1 t=6629
ni zhao 	你找	c=1 d=1 t=7645
ni zhi dao 	你知道	c=1 d=1 t=6210
ni zhi jie 	你直接	c=1 d=1 t=6487
ni zhun bei 	你準備	c=1 d=1 t=4956
ni zuo tian 	你昨天	c=1 d=1 t=2542
nin neng 	您能	c=0 d=0.1 t=4085
nin neng er guo 	您能二果	c=1 d=1 t=4086
nv 	女	c=1 d=1 t=3168
o 	哦	c=7 d=1.01541 t=7838
o o 	哦哦	c=3 d=1 t=3402
o o o 	哦哦哦	c=1 d=1 t=4567
ou di 	歐弟	c=1 d=1 t=1335
ou ni 	歐尼	c=1 d=1 t=1128
ou yuan 	歐元	c=2 d=1.93707 t=1042
pa 	怕	c=1 d=1 t=2739
pa 	爬	c=1 d=1 t=6277
pa chong 	爬蟲	c=11 d=2.69507 t=6761
pai cha 	排查	c=2 d=1.00601 t=1980
pai qi 	排期	c=1 d=0.207528 t=840
pai xu 	排序	c=1 d=1 t=7565
pan du 	判讀	c=0 d=0.1 t=1639
pan du a 	判讀啊	c=1 d=1 t=1640
pan duan 	判斷	c=14 d=1.08512 t=7106
pao 	跑	c=6 d=1.1867 t=7619
pao chu lai 	跑出來	c=1 d=1 t=6780
pao mian 	泡麪	c=1 d=1 t=2852
pao wan 	跑完	c=4 d=2.97004 t=7920
pei he 	配合	c=1 d=1 t=4831
pei wo 	陪我	c=1 d=1 t=2720
pei zhi 	配制	c=1 d=1 t=118
pei zhi 	配置	c=7 d=1.00034 t=8017
pen she 	噴射	c=1 d=1 t=5353
peng 	碰	c=0 d=0.1 t=6568
peng yi xia 	碰一下	c=1 d=1 t=6569
peng you 	朋友	c=1 d=1 t=5338
pi pei 	匹配	c=3 d=1 t=8210
pian yi 	便宜	c=1 d=1 t=6793
pin lv 	頻率	c=1 d=1 t=2816
ping ban 	平板	c=1 d=1 t=4456
ping bi 	屏蔽	c=1 d=1 t=8050
ping jia 	評價	c=1 d=1 t=7935
ping jun 	平均	c=1 d=1 t=5811
qi chuang 	起牀	c=1 d=1 t=2241
qi dong 	啓動	c=3 d=2.55127 t=6648
qi dong 	起動	c=1 d=1 t=6540
qi lai 	起來	c=1 d=1 t=7284
qi shi 	其實	c=12 d=1.00078 t=7162
qi ta 	其他	c=11 d=1 t=7705
qi wei 	企微	c=1 d=1 t=978
qi yu 	其餘	c=1 d=1 t=1301
qia fan 	恰飯	c=1 d=1 t=6574
qian 	前	c=1 d=1 t=2208
qian 	錢	c=1 d=1 t=6806
qian duan 	前端	c=1 d=1 t=8185
qian mian 	前面	c=1 d=1 t=3496
qian wen 	千問	c=5 d=3.52902 t=6809
qian yi 	遷移	c=2 d=1.01209 t=5538
qiang 	強	c=1 d=1 t=4735
qiang diao 	強調	c=2 d=1.21654 t=5312
qiang zhi 	強制	c=1 d=1 t=5475
qie 	切	c=2 d=1 t=4237
qie huan 	切換	c=18 d=2.89988 t=7066
qing 	請	c=20 d=0.108882 t=8062
qing ba 	請把	c=1 d=1 t=7264
qing bang mang 	請幫忙	c=2 d=1.83946 t=8098
qing chu 	清楚	c=4 d=1 t=7630
qing chu 	清除	c=1 d=1 t=5455
qing jia 	請假	c=1 d=1 t=2970
qing kong 	清空	c=5 d=1.04226 t=5476
qing kuang 	情況	c=12 d=1.45729 t=8088
qing qiu 	請求	c=8 d=1.02224 t=7212
qing wen 	請問	c=1 d=1 t=6878
qing xi 	清晰	c=2 d=1 t=5018
qing yong 	請用	c=1 d=1 t=3801
qing zai 	請在	c=1 d=1 t=3521
qiu he 	求和	c=1 d=1 t=174
qu 	去	c=19 d=1.49534 t=8056
qu 	取	c=23 d=2.2103 t=6870
qu 	屈	c=1 d=1 t=5852
qu bie 	區別	c=5 d=1.00159 t=6148
qu chong 	去重	c=2 d=1.00504 t=7202
qu diao 	去掉	c=0 d=0.1 t=2657
qu fen 	區分	c=1 d=1 t=828
quan 	全	c=1 d=1 t=3707
quan bu 	全部	c=5 d=1.02747 t=8001
quan ju 	全局	c=1 d=1 t=8036
quan xi 	全息	c=0 d=0.1 t=882
quan xi na 	全息那	c=1 d=1 t=883
quan xian 	權限	c=15 d=1.30854 t=6740
que 	卻	c=2 d=1.99005 t=177
que 	確	c=1 d=1 t=195
que bao 	確保	c=2 d=1.0008 t=6455
que ding 	確定	c=1 d=1 t=4560
que ren 	確認	c=19 d=1.3564 t=6971
que ren xia 	確認下	c=1 d=1 t=2150
que shao 	缺少	c=3 d=1 t=6846
que shi 	確實	c=4 d=1.70129 t=7844
que shi 	缺失	c=2 d=1.00001 t=2250
qun li 	羣裏	c=3 d=1.0355 t=3145
qun li 	群力	c=1 d=1 t=1749
ran hou 	然後	c=19 d=1.60982 t=8228
rang 	讓	c=5 d=1 t=7723
rang ni 	讓你	c=1 d=1 t=1533
ren 	人	c=7 d=1.19042 t=4731
ren gong 	人工	c=1 d=1 t=8103
ren he 	人和	c=1 d=1 t=474
ren he 	任何	c=2 d=1 t=5777
ren min bi 	人民幣	c=1 d=1 t=8298
ren tong 	認同	c=1 d=1 t=3267
ren wei 	認爲	c=8 d=2.17372 t=5102
ren wu 	人物	c=1 d=1 t=998
ren wu 	任務	c=14 d=1.00259 t=7903
ren yuan 	人員	c=4 d=1.0011 t=2112
reng ran 	仍然	c=1 d=1 t=4970
ri 	日	c=3 d=2.07906 t=1836
ri li 	日立	c=1 d=1 t=1361
ri qi 	日期	c=3 d=1 t=7856
ri zhi 	日誌	c=3 d=1.98128 t=8011
rong yu 	冗余	c=2 d=1.65705 t=3776
ru guo 	如果	c=30 d=1.00443 t=8207
ru he 	如何	c=22 d=1.78371 t=8316
ru xia 	如下	c=1 d=1 t=459
ruan jian 	軟件	c=11 d=7.7719 t=7525
san 	三	c=3 d=1.00006 t=5328
san deng fen 	三等分	c=2 d=1.66698 t=124
sao ma 	掃碼	c=1 d=1 t=6491
sha 	啥	c=7 d=1.00532 t=7504
sha dou 	啥都	c=1 d=1 t=7601
sha qi li 	沙奇里	c=1 d=1 t=2077
shai xuan 	篩選	c=1 d=1 t=7597
shan chu 	刪除	c=1 d=0.102254 t=2202
shang 	上	c=19 d=2.41627 t=7728
shang ban 	上班	c=3 d=1.00459 t=4947
shang chuan 	上傳	c=2 d=1.00001 t=2768
shang ci 	上次	c=3 d=1.00002 t=4497
shang hai 	上海	c=4 d=3.80284 t=1556
shang liang 	商量	c=1 d=1 t=4917
shang mian 	上面	c=5 d=1.01778 t=5073
shang qu 	上去	c=3 d=1.00041 t=5730
shang ren 	上人	c=3 d=1.05513 t=3980
shang wu 	上午	c=7 d=2.04978 t=8258
shang xian 	上線	c=7 d=1 t=5543
shang xian 	上限	c=3 d=1.13882 t=6466
shang xian de 	上線的	c=1 d=1 t=300
shang xin 	傷心	c=1 d=1 t=2407
shao 	少	c=3 d=1 t=5088
shao deng 	稍等	c=6 d=1.00001 t=4752
she 	社	c=1 d=1 t=5443
she bei 	設備	c=1 d=1 t=4922
she ji 	設計	c=20 d=1.03424 t=7587
she xia 	舌下	c=1 d=1 t=4816
she zhi 	攝制	c=1 d=1 t=1289
she zhi 	設置	c=9 d=1.00099 t=7950
shei 	誰	c=2 d=1 t=7236
shen ding fei dan sha 	神鼎飞丹砂	c=5 d=4.03392 t=107
shen er 	神尔	c=0 d=0.1 t=5620
shen er ma 	神尔嗎	c=2 d=1.00005 t=7612
shen me 	什麼	c=42 d=2.60439 t=8314
shen qing 	申請	c=8 d=2.77114 t=8125
shen ru 	深入	c=2 d=1 t=7392
shen ti 	身體	c=1 d=1 t=1559
sheng chan 	生產	c=1 d=1 t=4462
sheng chang 	聲場	c=2 d=1.99501 t=4461
sheng cheng 	生成	c=2 d=1 t=8188
sheng ji 	升級	c=1 d=1 t=8048
sheng lve 	省略	c=1 d=1 t=1057
sheng ming 	聲明	c=1 d=1 t=5279
sheng ri 	生日	c=1 d=1 t=3886
sheng xia 	剩下	c=2 d=1.00035 t=4817
sheng xiao 	生效	c=1 d=1 t=6119
sheng yin 	聲音	c=1 d=1 t=8237
sheng yu 	剩餘	c=3 d=1.01122 t=7210
shi 	事	c=1 d=1 t=675
shi 	使	c=1 d=1 t=7470
shi 	十	c=2 d=1.99005 t=5298
shi 	是	c=204 d=5.30892 t=8257
shi 	時	c=1 d=1 t=7471
shi a 	是啊	c=1 d=1 t=2854
shi ba 	是吧	c=2 d=1.00001 t=5640
shi bie 	識別	c=2 d=1 t=7869
shi bu shi 	是不是	c=31 d=1.35155 t=7870
shi bu shi yao 	是不是要	c=1 d=1 t=2670
shi de 	使得	c=1 d=1 t=8131
shi fei de shi 	是非得失	c=1 d=1 t=103
shi fou 	是否	c=23 d=2.73899 t=6920
shi hou 	時候	c=3 d=1.00393 t=3488
shi hou de 	時候的	c=1 d=1 t=301
shi ji 	實際	c=3 d=1 t=8087
shi ji tian 	十幾天	c=1 d=1 t=8080
shi jian 	時間	c=19 d=1.06195 t=6313
shi ni 	是你	c=1 d=1 t=5647
shi pei 	適配	c=1 d=1 t=3104
shi qi 	時齊	c=1 d=1 t=5099
shi qing 	事情	c=8 d=1.00019 t=8245
shi sha 	是啥	c=1 d=1 t=1800
shi shen me 	是什麼	c=1 d=1 t=7380
shi shi 	試試	c=2 d=1.00002 t=6630
shi wo men 	使我們	c=1 d=1 t=8146
shi xia 	試下	c=1 d=1 t=3413
shi xian 	實現	c=4 d=1.62023 t=8039
shi xiao 	失效	c=1 d=1 t=40
